ItemName,Value,IsReal
label,START:Entrance|Entering,True
global_active_energy,2919.929,True
global_frequency,50.0156593,True
global_voltage,238.822281,True
livingroom_couch_plug_consumption,0,True
global_power_factor,1.04857707,True
office_desk_plug_consumption,0,True
global_gas_total,188663,True
global_current,4.97327042,True
office_tv_plug_consumption,0,True
livingroom_tv_plug_consumption,1,True
global_active_power,1.13003135,True
livingroom_table_plug_consumption,0,True
livingroom_table_noise,0.278974,True
livingroom_table_noise,0.640542,True
livingroom_table_noise,2.10256,True
livingroom_table_noise,0.429033,True
livingroom_table_noise,0.182365,True
livingroom_couch_plug_consumption,0,True
office_desk_plug_consumption,0,True
office_tv_plug_consumption,0,True
livingroom_tv_plug_consumption,1,True
livingroom_table_plug_consumption,0,True
livingroom_couch_noise,0.354432,True
global_waterheater_total_energy,179071,True
global_waterheater_partial_energy,178580,True
bedroom_CO2,490.88,True
entrance_door,OPEN,True
livingroom_couch_noise,0.165306,True
global_active_energy,2919.929,True
global_frequency,50.0176697,True
global_voltage,238.971527,True
livingroom_couch_plug_consumption,0,True
global_power_factor,1.04950309,True
office_desk_plug_consumption,0,True
global_gas_total,188663,True
global_current,4.87557125,True
office_tv_plug_consumption,0,True
livingroom_tv_plug_consumption,1,True
global_active_power,1.1074456,True
livingroom_table_plug_consumption,0,True
entrance_switch_left,ON,True
entrance_light1,100,True
entrance_switch_left,OFF,True
staircase_light,100,True
kitchen_luminosity,20,True
entrance_door,CLOSED,True
livingroom_couch_noise,0.924206,True
livingroom_table_noise,0.758704,True
walkway_noise,0.965772,True
entrance_noise,5.84291,True
livingroom_couch_noise,0.303009,True
livingroom_table_noise,0.294863,True
global_lighting_power,72,True
walkway_noise,0.32229,True
entrance_noise,2.72151,True
livingroom_couch_plug_consumption,0,True
office_desk_plug_consumption,0,True
office_tv_plug_consumption,0,True
livingroom_tv_plug_consumption,1,True
walkway_noise,0.140185,True
livingroom_table_plug_consumption,0,True
office_tv_status,OFF,True
livingroom_tv_status,OFF,True
livingroom_table_noise,1.0383,True
livingroom_couch_plug_consumption,0,True
office_desk_plug_consumption,0,True
office_tv_plug_consumption,0,True
livingroom_tv_plug_consumption,0,True
livingroom_table_plug_consumption,0,True
livingroom_table_noise,0.398809,True
global_voltage,238.874466,True
global_power_factor,1.04698396,True
global_current,5.04412937,True
global_active_power,1.14790213,True
global_active_energy,2919.929,True
global_frequency,50.0296516,True
global_gas_total,188663,True
livingroom_humidity,29,True
livingroom_table_noise,0.183058,True
livingroom_presence_table,ON,True
kitchen_presence,ON,True
kitchen_dishwasher_partial_energy,19349,True
livingroom_couch_plug_consumption,0,True
kitchen_dishwasher_total_energy,19349,True
office_desk_plug_consumption,0,True
office_tv_plug_consumption,0,True
livingroom_tv_plug_consumption,1,True
livingroom_table_plug_consumption,0,True
livingroom_table_noise,0.871386,True
kitchen_oven_current,0,True
kitchen_oven_total_energy,11701,True
kitchen_oven_partial_energy,11688,True
walkway_noise,0.315044,True
livingroom_couch_noise,0.727891,True
kitchen_washingmachine_voltage,238.39,True
livingroom_couch_noise,0.207598,True
livingroom_table_noise,0.19607,True
livingroom_switch2_top_left,ON,True
walkway_noise,0.137207,True
livingroom_switch2_top_left,OFF,True
livingroom_shutter3,0,True
livingroom_shutter2,0,True
livingroom_shutter5,0,True
livingroom_shutter4,0,True
livingroom_shutter1,0,True
kitchen_fridge_voltage,238.93,True
livingroom_luminosity,11,True
livingroom_couch_noise,0.425386,True
global_active_energy,2919.929,True
global_frequency,50.02911,True
global_voltage,238.891296,True
livingroom_couch_plug_consumption,0,True
livingroom_table_noise,0.548571,True
global_power_factor,1.04671001,True
office_desk_plug_consumption,0,True
global_gas_total,188663,True
global_current,5.07128382,True
office_tv_plug_consumption,0,True
livingroom_tv_plug_consumption,0,True
global_active_power,1.15617216,True
livingroom_table_plug_consumption,0,True
walkway_noise,0.500973,True
global_shutters_power,598,True
walkway_noise,0.225579,True
bedroom_heater2_temperature,20.6,True
bedroom_temperature,21.46,True
livingroom_table_luminosity,18,True
kitchen_temperature,20.29,True
kitchen_hood_voltage,238.13,True
global_waterheater_voltage,237.86,True
livingroom_couch_plug_consumption,0,True
office_desk_plug_consumption,0,True
global_shutters_power,596,True
office_tv_plug_consumption,0,True
livingroom_tv_plug_consumption,0,True
livingroom_table_plug_consumption,0,True
kitchen_presence,OFF,True
global_shutters_total_energy,3593,True
global_shutters_partial_energy,3593,True
global_lighting_current,0.38,True
livingroom_table_noise,1.30503,True
global_lighting_voltage,238.64,True
kitchen_presence,ON,True
global_shutters_current,2.52,True
global_active_energy,2919.929,True
global_frequency,50.0324707,True
global_voltage,238.909134,True
global_power_factor,1.02582598,True
global_gas_total,188663,True
global_current,6.02903366,True
global_active_power,1.40280986,True
livingroom_couch_plug_consumption,0,True
office_desk_plug_consumption,0,True
office_tv_plug_consumption,0,True
livingroom_tv_plug_consumption,0,True
livingroom_shutter3,0,True
livingroom_shutter2,0,True
livingroom_shutter5,0,True
livingroom_shutter4,0,True
livingroom_table_plug_consumption,0,True
livingroom_presence_table,OFF,True
global_shutters_power,120,True
bedroom_heater2_effective_setpoint,19,True
bedroom_heater2_effective_mode,1,True
bedroom_heater2_command,0,True
bedroom_heater2_temperature,20.6,True
bedroom_heater1_temperature,19.5,True
bedroom_heater1_effective_setpoint,19,True
bedroom_heater1_effective_mode,1,True
bedroom_heater1_command,0,True
kitchen_presence,OFF,True
livingroom_couch_plug_consumption,0,True
office_desk_plug_consumption,0,True
office_tv_plug_consumption,0,True
livingroom_tv_plug_consumption,0,True
livingroom_table_plug_consumption,0,True
livingroom_couch_noise,0.208203,True
office_tv_status,OFF,True
livingroom_tv_status,OFF,True
entrance_heater_temperature,19.7,True
livingroom_table_noise,0.639125,True
livingroom_heater2_temperature,19.9,True
livingroom_heater2_effective_mode,1,True
livingroom_heater2_effective_setpoint,19,True
livingroom_heater2_command,0,True
global_active_energy,2919.929,True
global_frequency,50.0311584,True
global_voltage,239.526794,True
global_power_factor,1.29197502,True
global_gas_total,188663,True
global_current,1.92261112,True
global_active_power,0.32423386,True
livingroom_couch_plug_consumption,0,True
office_desk_plug_consumption,0,True
office_tv_plug_consumption,0,True
livingroom_tv_plug_consumption,0,True
livingroom_table_plug_consumption,0,True
livingroom_table_noise,0.247379,True
global_shutters_power,0,True
kitchen_washingmachine_power,0,True
livingroom_shutter1,0,True
kitchen_dishwasher_power,0,True
global_waterheater_power,0,True
entrance_heater_temperature,19.7,True
entrance_heater_effective_mode,1,True
entrance_heater_effective_setpoint,19,True
entrance_heater_command,0,True
kitchen_presence,ON,True
livingroom_couch_plug_consumption,0,True
livingroom_table_noise,0.113937,True
office_desk_plug_consumption,0,True
office_tv_plug_consumption,0,True
livingroom_tv_plug_consumption,0,True
livingroom_table_plug_consumption,0,True
kitchen_presence,OFF,True
kitchen_fridge_total_energy,119184,True
kitchen_fridge_partial_energy,119082,True
global_active_energy,2919.929,True
global_frequency,50.0424652,True
global_voltage,239.498322,True
global_power_factor,1.41409898,True
global_gas_total,188663,True
global_current,1.67623878,True
global_active_power,0.237585217,True
livingroom_couch_plug_consumption,0,True
office_desk_plug_consumption,0,True
office_tv_plug_consumption,0,True
livingroom_tv_plug_consumption,0,True
livingroom_table_plug_consumption,0,True
kitchen_dishwasher_voltage,240.19,True
bathroom_heater_temperature,19.7,True
bathroom_heater_effective_mode,1,True
bathroom_heater_command,0,True
bathroom_heater_effective_setpoint,19,True
bathroom_CO2,280,True
livingroom_couch_plug_consumption,0,True
office_desk_plug_consumption,0,True
office_tv_plug_consumption,0,True
livingroom_tv_plug_consumption,1,True
livingroom_table_plug_consumption,0,True
global_coldwater_total,8210,True
global_lighting_total_energy,223467,True
global_lighting_partial_energy,221075,True
global_shutters_current,0,True
global_active_energy,2919.929,True
global_frequency,50.0535545,True
global_voltage,239.59082,True
global_power_factor,1.41385102,True
global_gas_total,188663,True
global_current,1.67357683,True
global_active_power,0.234673604,True
livingroom_heater1_temperature,19.7,True
livingroom_presence_table,ON,True
livingroom_heater1_command,0,True
kitchen_presence,ON,True
livingroom_heater1_effective_mode,1,True
livingroom_couch_plug_consumption,0,True
office_desk_plug_consumption,0,True
office_tv_plug_consumption,0,True
livingroom_tv_plug_consumption,0,True
livingroom_heater1_effective_setpoint,19,True
livingroom_table_plug_consumption,0,True
livingroom_presence_couch,ON,True
livingroom_table_noise,0.281338,True
livingroom_presence_couch,OFF,True
livingroom_couch_noise,0.440384,True
livingroom_couch_noise,0.19525,True
global_heaters_temperature,19.7,True
livingroom_couch_plug_consumption,0,True
