ItemName,Value,Day
label,START:Entrance|Entering,1
staircase_switch_right,OFF,1
livingroom_heater2_command,0,1
livingroom_shutter2,0,1
kitchen_washingmachine_voltage,239.4,1
staircase_light,100,1
entrance_light1,0,1
livingroom_tv_plug_consumption,0,1
entrance_switch_left,OFF,1
livingroom_table_noise,0.263801,1
livingroom_couch_noise,0.489497,1
livingroom_heater2_effective_mode,1,1
office_tv_plug_consumption,9,1
staircase_switch_right,ON,1
global_shutters_power,599,1
livingroom_table_luminosity,41,1
livingroom_luminosity,32,1
kitchen_cooktop_voltage,239.61,1
livingroom_luminosity,18,1
office_desk_plug_consumption,0,1
entrance_door,CLOSED,1
global_shutters_current,2.54,1
livingroom_shutter5,0,1
livingroom_tv_plug_consumption,0,1
livingroom_tv_plug_consumption,1,1
walkway_noise,0.316479,1
entrance_light1,100,1
walkway_noise,0.131512,1
global_shutters_power,121,1
livingroom_tv_plug_consumption,1,1
livingroom_tv_plug_consumption,1,1
livingroom_table_plug_consumption,0,1
office_tv_plug_consumption,0,1
office_desk_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
livingroom_table_noise,0.754716,1
kitchen_presence,ON,1
entrance_switch_left,ON,1
livingroom_table_noise,0.120772,1
livingroom_tv_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
bedroom_heater2_temperature,22.2,1
office_tv_plug_consumption,0,1
staircase_light,100,1
livingroom_couch_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
bedroom_heater2_effective_mode,1,1
kitchen_hood_total_energy,683,1
livingroom_table_noise,1.26367,1
livingroom_couch_noise,0.506574,1
kitchen_oven_voltage,239.74,1
livingroom_couch_plug_consumption,0,1
livingroom_table_noise,0.600585,1
office_tv_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
livingroom_couch_noise,0.205884,1
office_tv_plug_consumption,0,1
kitchen_noise,2.75854,1
livingroom_heater2_temperature,22.1,1
office_tv_plug_consumption,0,1
livingroom_table_noise,3.84809,1
kitchen_cooktop_power,0,1
livingroom_couch_noise,2.34953,1
kitchen_luminosity,24,1
livingroom_shutter3,0,1
office_desk_plug_consumption,0,1
livingroom_shutter4,0,1
bedroom_heater1_temperature,22.1,1
walkway_noise,0.579051,1
staircase_light,0,1
livingroom_table_luminosity,28,1
office_desk_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
livingroom_shutter3,0,1
livingroom_couch_plug_consumption,0,1
livingroom_table_plug_consumption,0,1
kitchen_luminosity,35,1
livingroom_presence_table,ON,1
livingroom_switch2_top_left,ON,1
livingroom_humidity,33,1
livingroom_tv_plug_consumption,0,1
livingroom_tv_status,OFF,1
bedroom_heater2_command,0,1
livingroom_table_noise,0.394369,1
livingroom_shutter2,0,1
office_desk_plug_consumption,0,1
bedroom_heater1_temperature,21.9,1
livingroom_heater2_effective_setpoint,21,1
bathroom_humidity,35,1
office_desk_plug_consumption,0,1
livingroom_couch_plug_consumption,0,1
walkway_noise,0.151497,1
livingroom_table_plug_consumption,0,1
livingroom_shutter1,0,1
global_lighting_power,72,1
global_shutters_power,602,1
livingroom_table_plug_consumption,0,1
office_tv_plug_consumption,0,1
office_tv_status,OFF,1
livingroom_table_noise,0.113069,1
entrance_door,OPEN,1
bedroom_heater1_effective_setpoint,21,1
bedroom_heater2_effective_setpoint,21,1
livingroom_shutter4,0,1
office_tv_plug_consumption,0,1
livingroom_switch2_top_left,OFF,1
kitchen_cooktop_current,0,1
kitchen_noise,1.11532,1
livingroom_luminosity,43,1
livingroom_table_noise,0.245309,1
kitchen_luminosity,13,1
kitchen_hood_partial_energy,683,1
bedroom_heater1_command,0,1
kitchen_CO2,232,1
office_desk_plug_consumption,0,1
livingroom_couch_noise,0.187534,1
livingroom_shutter5,0,1
livingroom_couch_plug_consumption,0,1
livingroom_couch_noise,0.733037,1
bedroom_heater1_effective_mode,1,1
label,STOP:Entrance|Entering,1
label,START:Staircase|Going_up,1
staircase_switch_left,ON,1
livingroom_presence_table,ON,1
office_desk_plug_consumption,0,1
walkway_switch2_top_right,OFF,1
