ItemName,Value
label,START:Entrance|Entering
entrance_heater_temperature,21.7
livingroom_couch_plug_consumption,0
global_shutters_power,119
livingroom_table_plug_consumption,0
office_desk_plug_consumption,0
kitchen_humidity,31
livingroom_table_noise,1.0059
livingroom_luminosity,88.96
office_tv_plug_consumption,0
livingroom_couch_plug_consumption,0
kitchen_hood_total_energy,654
livingroom_couch_plug_consumption,0
livingroom_couch_plug_consumption,0
global_shutters_power,0
bathroom_heater_effective_mode,1
livingroom_table_plug_consumption,0
livingroom_couch_noise,0.503694
livingroom_tv_status,OFF
livingroom_presence_table,OFF
kitchen_hood_power,0
kitchen_luminosity,47
walkway_noise,0.134445
kitchen_hood_voltage,239
livingroom_heater1_command,0
office_tv_plug_consumption,0
entrance_light1,100
office_tv_plug_consumption,0
kitchen_humidity,31
livingroom_shutter3,0
staircase_switch_right,OFF
livingroom_heater2_temperature,21.5
office_heater_temperature,22.2
entrance_door,CLOSED
office_desk_plug_consumption,0
kitchen_oven_current,0
kitchen_hood_current,0
livingroom_couch_plug_consumption,0
bedroom_heater1_temperature,22.5
entrance_switch_left,ON
office_desk_plug_consumption,0
global_lighting_partial_energy,231426
office_tv_plug_consumption,0
livingroom_heater1_effective_setpoint,21
livingroom_table_plug_consumption,0
livingroom_shutter2,0
livingroom_presence_table,OFF
global_shutters_voltage,239.3
livingroom_presence_table,ON
livingroom_shutter2,0
livingroom_couch_plug_consumption,0
office_desk_plug_consumption,0
livingroom_couch_noise,0.193707
office_heater_effective_mode,1
office_desk_plug_consumption,0
livingroom_CO2,560.96
livingroom_couch_plug_consumption,0
kitchen_luminosity,31
livingroom_table_plug_consumption,0
livingroom_table_noise,0.465478
entrance_heater_effective_mode,1
bedroom_temperature,23.44
bathroom_temperature,22.42
livingroom_couch_noise,0.460438
walkway_noise,0.316056
office_tv_plug_consumption,0
staircase_light,0
office_tv_status,OFF
office_desk_plug_consumption,0
entrance_switch_left,OFF
office_desk_plug_consumption,0
kitchen_hood_partial_energy,654
kitchen_humidity,33
livingroom_table_plug_consumption,0
livingroom_heater1_effective_mode,1
livingroom_couch_plug_consumption,0
livingroom_table_luminosity,76
livingroom_couch_noise,0.218999
livingroom_switch2_top_left,ON
livingroom_shutter1,0
livingroom_table_noise,0.18253
global_lighting_total_energy,233818
entrance_heater_command,0
global_shutters_power,593
walkway_noise,0.285268
global_coldwater_total,9471
livingroom_table_luminosity,64
global_shutters_power,107
livingroom_heater1_temperature,21.5
office_heater_effective_setpoint,21
bathroom_heater_command,0
entrance_door,CLOSED
global_lighting_power,72
livingroom_shutter5,0
livingroom_table_plug_consumption,0
office_tv_plug_consumption,0
livingroom_couch_plug_consumption,0
livingroom_presence_table,OFF
staircase_light,100
livingroom_presence_table,ON
livingroom_luminosity,66
staircase_switch_right,ON
livingroom_table_plug_consumption,0
bathroom_heater_temperature,21.3
livingroom_tv_plug_consumption,1
livingroom_tv_plug_consumption,0
walkway_noise,0.1284
entrance_heater_effective_setpoint,21
livingroom_shutter4,0
bathroom_heater_effective_setpoint,21
kitchen_cooktop_current,0
kitchen_presence,ON
office_desk_plug_consumption,0
livingroom_tv_plug_consumption,0
livingroom_tv_plug_consumption,0
office_tv_plug_consumption,0
livingroom_table_plug_consumption,0
livingroom_shutter1,0
livingroom_shutter5,0
entrance_light1,0
office_desk_plug_consumption,0
entrance_door,OPEN
entrance_door,OPEN
livingroom_tv_plug_consumption,0
kitchen_cooktop_voltage,237.93
livingroom_tv_plug_consumption,1
livingroom_shutter4,0
kitchen_luminosity,36
global_shutters_current,2.51
livingroom_luminosity,55
entrance_light1,0
walkway_noise,0.135256
livingroom_switch2_top_left,OFF
livingroom_humidity,34
livingroom_presence_table,ON
walkway_noise,0.279772
livingroom_table_plug_consumption,0
livingroom_table_noise,0.383194
livingroom_couch_plug_consumption,0
entrance_light1,100
office_heater_command,0
kitchen_cooktop_power,0
global_lighting_voltage,239.19
staircase_light,100
kitchen_luminosity,16
livingroom_tv_plug_consumption,0
