Time,ItemName,Value
08/02/2024 07:58:00,label,START:Entrance|Entering
08/02/2024 07:58:11,entrance_door,OPEN
08/02/2024 07:58:22,entrance_switch_left,ON
08/02/2024 07:58:34,entrance_switch_left,OFF
08/02/2024 07:58:48,entrance_door,CLOSED
08/02/2024 08:00:01,livingroom_presence_table,ON
08/02/2024 08:00:15,kitchen_presence,ON
08/02/2024 08:00:20,livingroom_switch2_top_left,ON
08/02/2024 08:00:28,livingroom_switch2_top_left,OFF
08/02/2024 08:00:34,staircase_switch_right,ON
08/02/2024 08:00:48,staircase_switch_right,OFF
08/02/2024 08:01:01,livingroom_presence_table,OFF
08/02/2024 08:01:09,kitchen_presence,OFF
08/02/2024 08:01:09,label,STOP:Entrance|Entering
08/02/2024 08:01:09,label,START:Staircase|Going_up
08/02/2024 08:01:17,staircase_switch_left,ON
08/02/2024 08:01:29,staircase_switch_left,OFF
08/02/2024 08:01:36,livingroom_presence_table,ON
08/02/2024 08:02:43,livingroom_presence_table,OFF
08/02/2024 08:02:43,label,STOP:Staircase|Going_up
08/02/2024 08:02:43,label,START:Bathroom|Using_the_toilet
08/02/2024 08:02:55,bathroom_switch_bottom_left,ON
08/02/2024 08:03:05,bathroom_switch_top_left,ON
08/02/2024 08:03:11,bathroom_door,OPEN
08/02/2024 08:03:16,bathroom_switch_bottom_left,OFF
08/02/2024 08:03:26,bathroom_switch_top_left,OFF
08/02/2024 08:03:32,bathroom_presence,ON
08/02/2024 08:03:39,bathroom_door,CLOSED
08/02/2024 08:03:46,bathroom_presence,OFF
08/02/2024 08:06:57,bathroom_switch_bottom_right,ON
08/02/2024 08:07:11,bathroom_switch_top_right,ON
08/02/2024 08:07:17,bathroom_switch_bottom_right,OFF
08/02/2024 08:07:22,bathroom_switch_top_right,OFF
08/02/2024 08:07:22,label,STOP:Bathroom|Using_the_toilet
08/02/2024 08:07:22,label,START:Bathroom|Cleaning
08/02/2024 08:07:29,bathroom_presence,ON
08/02/2024 08:09:39,bathroom_shower_door,OPEN
08/02/2024 08:10:53,bathroom_shower_door,CLOSED
08/02/2024 08:11:05,bathroom_switch_bottom_right,ON
08/02/2024 08:11:16,bathroom_door,OPEN
08/02/2024 08:11:25,bathroom_switch_top_right,ON
08/02/2024 08:11:33,bathroom_switch_bottom_right,OFF
08/02/2024 08:11:44,bathroom_switch_top_right,OFF
08/02/2024 08:11:54,bathroom_door,CLOSED
08/02/2024 08:12:00,bathroom_presence,OFF
08/02/2024 08:12:00,label,STOP:Bathroom|Cleaning
08/02/2024 08:12:00,label,START:Bedroom|Cleaning
08/02/2024 08:12:05,bedroom_door,OPEN
08/02/2024 08:12:16,bedroom_switch_middle_left,ON
08/02/2024 08:12:22,bedroom_presence,ON
08/02/2024 08:12:30,bedroom_switch_middle_left,OFF
08/02/2024 08:12:41,bedroom_switch_top_left,ON
