ItemName,Value
label,START:Entrance|Entering
global_active_energy,2919.929
global_frequency,50.0156593
global_voltage,238.822281
livingroom_couch_plug_consumption,0
global_power_factor,1.04857707
office_desk_plug_consumption,0
global_gas_total,188663
global_current,4.97327042
office_tv_plug_consumption,0
livingroom_tv_plug_consumption,1
global_active_power,1.13003135
livingroom_table_plug_consumption,0
livingroom_table_noise,0.278974
livingroom_table_noise,0.640542
livingroom_table_noise,2.10256
livingroom_table_noise,0.429033
livingroom_table_noise,0.182365
livingroom_couch_plug_consumption,0
office_desk_plug_consumption,0
office_tv_plug_consumption,0
livingroom_tv_plug_consumption,1
livingroom_table_plug_consumption,0
livingroom_couch_noise,0.354432
global_waterheater_total_energy,179071
global_waterheater_partial_energy,178580
bedroom_CO2,490.88
entrance_door,OPEN
livingroom_couch_noise,0.165306
global_active_energy,2919.929
global_frequency,50.0176697
global_voltage,238.971527
livingroom_couch_plug_consumption,0
global_power_factor,1.04950309
office_desk_plug_consumption,0
global_gas_total,188663
global_current,4.87557125
office_tv_plug_consumption,0
livingroom_tv_plug_consumption,1
global_active_power,1.1074456
livingroom_table_plug_consumption,0
entrance_switch_left,ON
entrance_light1,100
entrance_switch_left,OFF
staircase_light,100
kitchen_luminosity,20
entrance_door,CLOSED
livingroom_couch_noise,0.924206
livingroom_table_noise,0.758704
walkway_noise,0.965772
entrance_noise,5.84291
livingroom_couch_noise,0.303009
livingroom_table_noise,0.294863
global_lighting_power,72
walkway_noise,0.32229
entrance_noise,2.72151
livingroom_couch_plug_consumption,0
office_desk_plug_consumption,0
office_tv_plug_consumption,0
livingroom_tv_plug_consumption,1
walkway_noise,0.140185
livingroom_table_plug_consumption,0
office_tv_status,OFF
livingroom_tv_status,OFF
livingroom_table_noise,1.0383
livingroom_couch_plug_consumption,0
office_desk_plug_consumption,0
office_tv_plug_consumption,0
livingroom_tv_plug_consumption,0
livingroom_table_plug_consumption,0
livingroom_table_noise,0.398809
global_voltage,238.874466
global_power_factor,1.04698396
global_current,5.04412937
global_active_power,1.14790213
global_active_energy,2919.929
global_frequency,50.0296516
global_gas_total,188663
livingroom_humidity,29
livingroom_table_noise,0.183058
livingroom_presence_table,ON
kitchen_presence,ON
kitchen_dishwasher_partial_energy,19349
livingroom_couch_plug_consumption,0
kitchen_dishwasher_total_energy,19349
office_desk_plug_consumption,0
office_tv_plug_consumption,0
livingroom_tv_plug_consumption,1
livingroom_table_plug_consumption,0
livingroom_table_noise,0.871386
kitchen_oven_current,0
kitchen_oven_total_energy,11701
kitchen_oven_partial_energy,11688
walkway_noise,0.315044
livingroom_couch_noise,0.727891
kitchen_washingmachine_voltage,238.39
livingroom_couch_noise,0.207598
livingroom_table_noise,0.19607
livingroom_switch2_top_left,ON
walkway_noise,0.137207
livingroom_switch2_top_left,OFF
livingroom_shutter3,0
livingroom_shutter2,0
livingroom_shutter5,0
livingroom_shutter4,0
livingroom_shutter1,0
kitchen_fridge_voltage,238.93
livingroom_luminosity,11
livingroom_couch_noise,0.425386
global_active_energy,2919.929
global_frequency,50.02911
global_voltage,238.891296
