ItemName,Value
label,START:Entrance|Entering
global_lighting_power,72
office_heater_effective_mode,1
walkway_noise,0.275515
livingroom_table_noise,0.377496
office_tv_plug_consumption,0
livingroom_couch_noise,0.665507
livingroom_tv_plug_consumption,0
livingroom_tv_plug_consumption,0
livingroom_table_noise,0.393257
livingroom_presence_table,OFF
livingroom_tv_plug_consumption,0
livingroom_table_noise,0.168016
livingroom_couch_plug_consumption,0
global_lighting_total_energy,229002
livingroom_switch2_top_left,ON
livingroom_shutter1,0
staircase_light,100
office_desk_plug_consumption,0
livingroom_table_plug_consumption,0
livingroom_tv_plug_consumption,0
global_shutters_power,586
livingroom_couch_noise,0.209822
office_desk_plug_consumption,0
livingroom_heater1_effective_mode,1
livingroom_table_plug_consumption,0
entrance_switch_left,OFF
livingroom_couch_plug_consumption,0
livingroom_presence_table,ON
office_heater_command,0
livingroom_couch_plug_consumption,0
livingroom_table_noise,0.184383
livingroom_tv_status,OFF
livingroom_table_plug_consumption,0
livingroom_heater1_effective_setpoint,19
livingroom_table_plug_consumption,0
staircase_light,0
livingroom_tv_plug_consumption,0
staircase_light,0
livingroom_shutter3,0
livingroom_heater1_temperature,19.9
office_tv_plug_consumption,0
livingroom_couch_plug_consumption,0
livingroom_tv_plug_consumption,1
livingroom_table_plug_consumption,0
livingroom_table_noise,2.42463
livingroom_temperature,20.72
kitchen_oven_current,0
livingroom_heater1_command,0
livingroom_table_noise,0.812699
kitchen_presence,ON
livingroom_luminosity,22
livingroom_table_noise,0.339377
livingroom_shutter4,0
global_lighting_power,17
livingroom_table_plug_consumption,0
bathroom_CO2,297.92
entrance_light1,0
kitchen_luminosity,5
office_tv_plug_consumption,0
office_heater_effective_setpoint,19
office_desk_plug_consumption,0
global_lighting_partial_energy,226610
livingroom_tv_plug_consumption,1
kitchen_luminosity,19
livingroom_table_luminosity,28
livingroom_shutter5,0
global_shutters_power,592
livingroom_table_plug_consumption,0
office_tv_plug_consumption,0
livingroom_couch_plug_consumption,0
office_tv_plug_consumption,0
office_desk_plug_consumption,0
livingroom_table_noise,0.724272
entrance_door,OPEN
office_desk_plug_consumption,0
entrance_switch_left,ON
livingroom_table_noise,0.642239
office_desk_plug_consumption,0
livingroom_presence_table,ON
office_tv_plug_consumption,0
office_tv_plug_consumption,0
staircase_switch_right,ON
office_tv_plug_consumption,0
livingroom_shutter2,0
entrance_door,CLOSED
livingroom_switch2_top_left,OFF
livingroom_table_noise,0.318733
